Date,Asia
29/12/2014,1.94
05/01/2015,1.89
12/01/2015,1.73
19/01/2015,1.69
26/01/2015,1.49
02/02/2015,1.46
09/02/2015,1.46
16/02/2015,1.43
23/02/2015,1.46
02/03/2015,1.48
09/03/2015,1.47
16/03/2015,1.44
23/03/2015,1.44
30/03/2015,1.40
06/04/2015,1.35
13/04/2015,1.31
20/04/2015,1.31
27/04/2015,1.28
04/05/2015,1.28
11/05/2015,1.34
18/05/2015,1.34
25/05/2015,1.33
01/06/2015,1.33
08/06/2015,1.33
15/06/2015,1.27
22/06/2015,1.21
29/06/2015,1.22
06/07/2015,1.18
13/07/2015,1.18
20/07/2015,1.20
27/07/2015,1.22
03/08/2015,1.21
10/08/2015,1.21
17/08/2015,1.30
24/08/2015,1.22
31/08/2015,1.24
07/09/2015,1.22
14/09/2015,1.17
21/09/2015,1.16
28/09/2015,1.18
05/10/2015,1.20
12/10/2015,1.20
19/10/2015,1.21
26/10/2015,1.21
02/11/2015,1.27
09/11/2015,1.27
16/11/2015,1.27
23/11/2015,1.25
30/11/2015,1.24
07/12/2015,1.23
14/12/2015,1.21
21/12/2015,1.21
28/12/2015,1.20
04/01/2016,1.18
11/01/2016,1.14
18/01/2016,1.07
25/01/2016,1.09
01/02/2016,1.09
08/02/2016,1.07
15/02/2016,1.05
22/02/2016,1.02
29/02/2016,1.01
07/03/2016,1.04
14/03/2016,1.04
21/03/2016,1.04
28/03/2016,1.02
04/04/2016,1.01
11/04/2016,1.02
18/04/2016,1.04
25/04/2016,1.07
02/05/2016,1.06
09/05/2016,1.05
16/05/2016,1.08
23/05/2016,1.08
30/05/2016,1.09
06/06/2016,1.11
13/06/2016,1.10
20/06/2016,1.12
27/06/2016,1.14
04/07/2016,1.13
11/07/2016,1.14
18/07/2016,1.20
25/07/2016,1.31
01/08/2016,1.29
08/08/2016,1.28
15/08/2016,1.31
22/08/2016,1.30
29/08/2016,1.30
05/09/2016,1.30
12/09/2016,1.31
19/09/2016,1.32
26/09/2016,1.33
03/10/2016,1.34
10/10/2016,1.36
17/10/2016,1.38
24/10/2016,1.26
31/10/2016,1.26
07/11/2016,1.27
14/11/2016,1.36
21/11/2016,1.36
28/11/2016,1.44
05/12/2016,1.47
12/12/2016,1.52
19/12/2016,1.55
26/12/2016,1.55
02/01/2017,1.56
09/01/2017,1.59
16/01/2017,1.50
23/01/2017,1.40
30/01/2017,1.39
06/02/2017,1.38
13/02/2017,1.36
20/02/2017,1.33
27/02/2017,1.26
06/03/2017,1.25
13/03/2017,1.08
20/03/2017,1.07
27/03/2017,1.08
03/04/2017,1.10
10/04/2017,1.15
17/04/2017,1.10
24/04/2017,1.09
01/05/2017,1.19
08/05/2017,1.22
15/05/2017,1.23
22/05/2017,1.23
29/05/2017,1.28
05/06/2017,1.28
12/06/2017,1.28
19/06/2017,1.27
26/06/2017,1.28
03/07/2017,1.29
10/07/2017,1.35
17/07/2017,1.37
24/07/2017,1.50
31/07/2017,1.49
07/08/2017,1.48
14/08/2017,1.47
21/08/2017,1.46
28/08/2017,1.47
04/09/2017,1.48
11/09/2017,1.51
18/09/2017,1.54
25/09/2017,1.58
02/10/2017,1.70
09/10/2017,1.70
16/10/2017,1.76
23/10/2017,1.91
30/10/2017,1.93
06/11/2017,2.07
13/11/2017,2.16
20/11/2017,2.34
27/11/2017,2.34
04/12/2017,2.34
11/12/2017,2.36
18/12/2017,2.40
25/12/2017,2.41
01/01/2018,2.41
08/01/2018,2.42
15/01/2018,2.38
22/01/2018,2.29
29/01/2018,2.16
05/02/2018,2.12
12/02/2018,1.93
19/02/2018,1.93
26/02/2018,1.87
05/03/2018,1.94
12/03/2018,1.83
19/03/2018,1.75
26/03/2018,1.74
02/04/2018,1.54
09/04/2018,1.48
16/04/2018,1.48
23/04/2018,1.57
30/04/2018,1.69
07/05/2018,1.78
14/05/2018,1.82
21/05/2018,1.96
28/05/2018,1.97
04/06/2018,2.04
11/06/2018,2.44
18/06/2018,2.42
25/06/2018,2.33
02/07/2018,2.24
09/07/2018,2.22
16/07/2018,2.19
23/07/2018,2.13
30/07/2018,2.25
06/08/2018,2.27
13/08/2018,2.30
20/08/2018,2.44
27/08/2018,2.57
03/09/2018,2.58
10/09/2018,2.58
17/09/2018,2.53
24/09/2018,2.62
01/10/2018,2.71
08/10/2018,3.09
15/10/2018,3.10
22/10/2018,3.96
29/10/2018,3.79
05/11/2018,3.76
12/11/2018,4.01
19/11/2018,3.91
26/11/2018,3.72
03/12/2018,3.44
10/12/2018,2.85
17/12/2018,2.57
24/12/2018,2.40
31/12/2018,2.37
07/01/2019,2.06
14/01/2019,1.98
21/01/2019,1.88
28/01/2019,1.76
04/02/2019,1.68
11/02/2019,1.65
18/02/2019,1.56
25/02/2019,1.50
04/03/2019,1.48
11/03/2019,1.48
18/03/2019,1.37
25/03/2019,1.32
01/04/2019,1.33
08/04/2019,1.31
15/04/2019,1.37
22/04/2019,1.41
29/04/2019,1.58
06/05/2019,1.65
13/05/2019,1.65
20/05/2019,1.61
27/05/2019,1.52
03/06/2019,1.61
10/06/2019,1.54
17/06/2019,1.49
24/06/2019,1.48
01/07/2019,1.45
08/07/2019,1.52
15/07/2019,1.68
22/07/2019,1.58
29/07/2019,1.80
05/08/2019,1.82
12/08/2019,1.76
19/08/2019,1.77
26/08/2019,1.83
02/09/2019,1.68
09/09/2019,1.71
16/09/2019,1.91
23/09/2019,2.18
30/09/2019,2.20
07/10/2019,2.81
14/10/2019,2.92
21/10/2019,2.82
28/10/2019,2.71
04/11/2019,2.79
11/11/2019,2.69
18/11/2019,2.61
25/11/2019,2.48
02/12/2019,2.27
09/12/2019,2.44
16/12/2019,2.31
23/12/2019,2.30
30/12/2019,2.42
06/01/2020,2.40
13/01/2020,2.19
20/01/2020,1.89
27/01/2020,1.81
03/02/2020,1.63
10/02/2020,1.43
17/02/2020,1.40
24/02/2020,1.28
02/03/2020,1.19
09/03/2020,1.25
16/03/2020,1.39
23/03/2020,1.45
30/03/2020,1.27
06/04/2020,1.28
13/04/2020,1.25
20/04/2020,1.07
27/04/2020,1.02
04/05/2020,1.02
11/05/2020,1.06
18/05/2020,0.96
25/05/2020,0.93
01/06/2020,0.97
08/06/2020,0.97
15/06/2020,1.04
22/06/2020,1.02
29/06/2020,1.03
06/07/2020,1.10
13/07/2020,1.11
20/07/2020,1.17
27/07/2020,1.18
03/08/2020,1.22
10/08/2020,1.34
17/08/2020,1.39
24/08/2020,1.46
31/08/2020,1.38
07/09/2020,1.48
14/09/2020,1.51
21/09/2020,1.75
28/09/2020,1.76
05/10/2020,1.82
12/10/2020,1.92
19/10/2020,2.35
26/10/2020,2.54
02/11/2020,2.60
09/11/2020,2.61
16/11/2020,2.38
23/11/2020,2.56
30/11/2020,2.69
07/12/2020,3.24
14/12/2020,3.69
21/12/2020,3.77
28/12/2020,4.32
04/01/2021,6.50
11/01/2021,6.47
18/01/2021,3.34
25/01/2021,2.90
01/02/2021,2.19
08/02/2021,1.80
15/02/2021,1.65
22/02/2021,1.23
01/03/2021,1.29
08/03/2021,1.32
15/03/2021,1.35
22/03/2021,1.41
29/03/2021,1.48
05/04/2021,1.59
12/04/2021,1.78
19/04/2021,2.11
26/04/2021,2.17
03/05/2021,2.22
10/05/2021,2.23
17/05/2021,1.91
24/05/2021,1.96
31/05/2021,2.13
07/06/2021,2.24
14/06/2021,2.46
21/06/2021,2.59
28/06/2021,2.62
05/07/2021,2.31
12/07/2021,2.21
19/07/2021,2.26
26/07/2021,2.23
02/08/2021,2.41
09/08/2021,2.41
16/08/2021,2.34
23/08/2021,2.17
30/08/2021,2.38
06/09/2021,2.34
13/09/2021,2.60
20/09/2021,2.98
27/09/2021,3.55
04/10/2021,4.31
11/10/2021,4.59
18/10/2021,4.39
25/10/2021,4.65
01/11/2021,5.22
08/11/2021,5.58
15/11/2021,5.80
22/11/2021,5.80
29/11/2021,5.80
06/12/2021,5.35
13/12/2021,4.85
20/12/2021,3.83
27/12/2021,3.25
03/01/2022,2.85
10/01/2022,2.77
17/01/2022,2.37
24/01/2022,2.51
31/01/2022,2.35
07/02/2022,2.33
14/02/2022,2.31
21/02/2022,2.86
28/02/2022,3.29
07/03/2022,3.27
14/03/2022,3.17
21/03/2022,3.27
28/03/2022,3.15
04/04/2022,2.99
11/04/2022,2.94
18/04/2022,2.72
25/04/2022,2.67
02/05/2022,2.66
09/05/2022,2.82
16/05/2022,3.14
23/05/2022,3.30
30/05/2022,3.43
06/06/2022,3.62
13/06/2022,3.30
20/06/2022,3.25
27/06/2022,3.34
04/07/2022,3.33
11/07/2022,3.26
18/07/2022,3.12
25/07/2022,3.22
01/08/2022,3.40
08/08/2022,3.87
15/08/2022,4.32
22/08/2022,5.05
29/08/2022,4.68
05/09/2022,4.41
12/09/2022,4.78
19/09/2022,5.01
26/09/2022,5.77
03/10/2022,6.86
10/10/2022,6.78
17/10/2022,7.56
24/10/2022,7.09
31/10/2022,7.17
07/11/2022,7.77
14/11/2022,7.20
21/11/2022,6.73
28/11/2022,5.58
05/12/2022,5.39
12/12/2022,5.09
19/12/2022,4.55
26/12/2022,4.32
02/01/2023,3.75
09/01/2023,2.82
16/01/2023,2.78
23/01/2023,2.69
30/01/2023,2.36
06/02/2023,2.47
13/02/2023,2.41
20/02/2023,2.36
27/02/2023,2.34
06/03/2023,2.12
13/03/2023,2.02
20/03/2023,1.96
27/03/2023,1.90
03/04/2023,1.86
10/04/2023,1.84
17/04/2023,1.80
24/04/2023,1.78
01/05/2023,1.74
08/05/2023,1.67
15/05/2023,1.59
22/05/2023,1.57
29/05/2023,1.77
05/06/2023,1.97
12/06/2023,2.50
19/06/2023,2.45
26/06/2023,2.71
03/07/2023,2.57
10/07/2023,2.40
17/07/2023,2.48
24/07/2023,2.50
31/07/2023,2.75
07/08/2023,3.11
14/08/2023,3.39